IDX,Type,M,N,W,H,I,J,STRIDE,P
1,CONV,64,3,112,112,7,7,2,1
2,CONV,64,64,56,56,1,1,1,1
3,CONV,192,64,56,56,3,3,1,1
4,CONV,64,192,28,28,1,1,1,1
5,CONV,96,192,28,28,1,1,1,1
6,CONV,128,96,28,28,3,3,1,1
7,CONV,16,192,28,28,1,1,1,1
8,CONV,32,16,28,28,5,5,1,1
9,CONV,32,192,28,28,1,1,1,1
10,CONV,128,256,28,28,1,1,1,1
11,CONV,128,256,28,28,1,1,1,1
12,CONV,192,128,28,28,3,3,1,1
13,CONV,32,256,28,28,1,1,1,1
14,CONV,96,32,28,28,5,5,1,1
15,CONV,64,256,28,28,1,1,1,1
16,CONV,192,480,14,14,1,1,1,1
17,CONV,96,480,14,14,1,1,1,1
18,CONV,208,96,14,14,3,3,1,1
19,CONV,16,480,14,14,1,1,1,1
20,CONV,48,16,14,14,5,5,1,1
21,CONV,64,480,14,14,1,1,1,1
22,CONV,160,512,14,14,1,1,1,1
23,CONV,112,512,14,14,1,1,1,1
24,CONV,224,112,14,14,3,3,1,1
25,CONV,24,512,14,14,1,1,1,1
26,CONV,64,24,14,14,5,5,1,1
27,CONV,64,512,14,14,1,1,1,1
28,CONV,128,512,14,14,1,1,1,1
29,CONV,128,512,14,14,1,1,1,1
30,CONV,256,128,14,14,3,3,1,1
31,CONV,24,512,14,14,1,1,1,1
32,CONV,64,24,14,14,1,1,1,1
33,CONV,64,512,14,14,1,1,1,1
34,CONV,112,512,14,14,1,1,1,1
35,CONV,144,512,14,14,1,1,1,1
36,CONV,288,144,14,14,3,3,1,1
37,CONV,32,512,14,14,1,1,1,1
38,CONV,64,32,14,14,5,5,1,1
39,CONV,64,512,14,14,1,1,1,1
40,CONV,256,528,14,14,1,1,1,1
41,CONV,160,528,14,14,1,1,1,1
42,CONV,320,160,14,14,3,3,1,1
43,CONV,32,528,14,14,1,1,1,1
44,CONV,128,32,14,14,5,5,1,1
45,CONV,128,528,14,14,1,1,1,1
46,CONV,256,832,7,7,1,1,1,1
47,CONV,160,532,7,7,1,1,1,1
48,CONV,320,160,7,7,3,3,1,1
49,CONV,32,832,7,7,1,1,1,1
50,CONV,128,32,7,7,5,5,1,1
51,CONV,128,832,7,7,1,1,1,1
52,CONV,384,832,7,7,1,1,1,1
53,CONV,192,832,7,7,1,1,1,1
54,CONV,384,192,7,7,3,3,1,1
55,CONV,48,832,7,7,1,1,1,1
56,CONV,128,32,7,7,5,5,1,1
57,CONV,128,832,7,7,1,1,1,1
58,MM,1000,1024,1,1,1,1,1,2
